;Zuerich;Genf;Basel;Lausanne;Bern;Winterthur;Luzern;St.Gallen;Lugano;Biel;    Thun;    Koeniz;    La Chaux-de-Fonds;    Schaffhausen;    Freiburg;    Chur;    Neuenburg;    Vernier;    Uster;    Sion;    Olten;    Arthgoldau
    Zuerich;0;0.311;0.8201;0.2739;0.4822;1.8227;0.7067;0.4296;0.131;0.188;0.1627;0.146;0.1047;0.3583;0.1062;0.1317;0.0952;0.0537;0.8683;0.0727;0.0916;0.1121
    Genf;0.311;0;0.1639;0.4679;0.1803;0.0774;0.0765;0.0486;0.0469;0.0717;0.0617;0.0577;0.0624;0.026;0.0636;0.0235;0.0583;1.5953;0.0258;0.0606;0.0119;0.01
    Basel;0.8201;0.1639;0;0.1526;0.2967;0.1892;0.1627;0.088;0.0443;0.1563;0.0783;0.0885;0.0794;0.0715;0.0635;0.033;0.067;0.0284;0.0598;0.0334;0.0585;0.0196
    Lausanne;0.2739;0.4679;0.1526;0;0.2032;0.0666;0.0705;0.0402;0.0371;0.0785;0.0673;0.0661;0.0719;0.0222;0.0862;0.0192;0.0737;0.0776;0.0224;0.0601;0.0112;0.009
    Bern;0.4822;0.1803;0.2967;0.2032;0;0.1081;0.1451;0.0582;0.0433;0.2515;0.205;1.4197;0.0941;0.0354;0.1638;0.0262;0.1057;0.0309;0.0376;0.0472;0.0256;0.0162
    Winterthur;1.8227;0.0774;0.1892;0.0666;0.1081;0;0.1297;0.1538;0.0333;0.043;0.0365;0.0329;0.025;0.1481;0.0247;0.0366;0.0225;0.0134;0.1934;0.0175;0.0182;0.0214
    Luzern;0.7067;0.0765;0.1627;0.0705;0.1451;0.1297;0;0.0618;0.0336;0.0493;0.0547;0.0438;0.0259;0.0354;0.0298;0.0271;0.0246;0.0132;0.0543;0.0204;0.0203;0.0452
    St.Gallen;0.4296;0.0486;0.088;0.0402;0.0582;0.1538;0.0618;0;0.0249;0.0227;0.0205;0.0178;0.0139;0.0399;0.014;0.038;0.0126;0.0084;0.0467;0.0109;0.0077;0.0107
    Lugano;0.131;0.0469;0.0443;0.0371;0.0433;0.0333;0.0336;0.0249;0;0.0154;0.0176;0.0136;0.0101;0.0101;0.0116;0.0179;0.0095;0.0081;0.0118;0.0132;0.0038;0.0051
    Biel;0.188;0.0717;0.1563;0.0785;0.2515;0.043;0.0493;0.0227;0.0154;0;0.0426;0.074;0.0595;0.0147;0.0478;0.0098;0.0582;0.0123;0.0145;0.0154;0.0109;0.0057
    Thun;0.1627;0.0617;0.0783;0.0673;0.205;0.0365;0.0547;0.0205;0.0176;0.0426;0;0.0671;0.0222;0.0115;0.0412;0.0099;0.0238;0.0105;0.013;0.0209;0.0072;0.0061
    Koeniz;0.146;0.0577;0.0885;0.0661;1.4197;0.0329;0.0438;0.0178;0.0136;0.074;0.0671;0;0.0297;0.0108;0.058;0.0081;0.0341;0.0099;0.0114;0.0153;0.0075;0.0049
    La Chaux-de-Fonds;0.1047;0.0624;0.0794;0.0719;0.0941;0.025;0.0259;0.0139;0.0101;0.0595;0.0222;0.0297;0;0.0086;0.0314;0.0061;0.0842;0.0108;0.0083;0.0108;0.0051;0.0032
    Schaffhausen;0.3583;0.026;0.0715;0.0222;0.0354;0.1481;0.0354;0.0399;0.0101;0.0147;0.0115;0.0108;0.0086;0;0.0082;0.0101;0.0077;0.0045;0.0285;0.0056;0.0062;0.0053
    Freiburg;0.1062;0.0636;0.0635;0.0862;0.1638;0.0247;0.0298;0.014;0.0116;0.0478;0.0412;0.058;0.0314;0.0082;0;0.0065;0.0426;0.0108;0.0085;0.0162;0.0049;0.0035
    Chur;0.1317;0.0235;0.033;0.0192;0.0262;0.0366;0.0271;0.038;0.0179;0.0098;0.0099;0.0081;0.0061;0.0101;0.0065;0;0.0056;0.0041;0.0131;0.0057;0.0029;0.0048
    Neuenburg;0.0952;0.0583;0.067;0.0737;0.1057;0.0225;0.0246;0.0126;0.0095;0.0582;0.0238;0.0341;0.0842;0.0077;0.0426;0.0056;0;0.01;0.0075;0.0111;0.0046;0.003
    Vernier;0.0537;1.5953;0.0284;0.0776;0.0309;0.0134;0.0132;0.0084;0.0081;0.0123;0.0105;0.0099;0.0108;0.0045;0.0108;0.0041;0.01;0;0.0045;0.0102;0.0021;0.0017
    Uster;0.8683;0.0258;0.0598;0.0224;0.0376;0.1934;0.0543;0.0467;0.0118;0.0145;0.013;0.0114;0.0083;0.0285;0.0085;0.0131;0.0075;0.0045;0;0.0061;0.0062;0.0099
    Sion;0.0727;0.0606;0.0334;0.0601;0.0472;0.0175;0.0204;0.0109;0.0132;0.0154;0.0209;0.0153;0.0108;0.0056;0.0162;0.0057;0.0111;0.0102;0.0061;0;0.0027;0.0026
    Olten;0.0916;0.0119;0.0585;0.0112;0.0256;0.0182;0.0203;0.0077;0.0038;0.0109;0.0072;0.0075;0.0051;0.0062;0.0049;0.0029;0.0046;0.0021;0.0062;0.0027;0;0.0022
    Arthgoldau;0.1121;0.01;0.0196;0.009;0.0162;0.0214;0.0452;0.0107;0.0051;0.0057;0.0061;0.0049;0.0032;0.0053;0.0035;0.0048;0.003;0.0017;0.0099;0.0026;0.0022;0
